Name,Force (N),Material,Max Von mises Stress (N/mm2)
DP 0,0,Ti-6Al-4V,0
DP 1,500,Ti-6Al-4V,0.002823136
DP 3,1000,Ti-6Al-4V,0.005646271
DP 4,1500,Ti-6Al-4V,0.008469407
DP 5,2000,Ti-6Al-4V,0.009648191
DP 6,2500,Ti-6Al-4V,0.010890024714171886
DP 7,3000,Ti-6Al-4V,0.010486605887611708
DP 8,3500,Ti-6Al-4V,0.011775670883556208
DP 9,4000,Ti-6Al-4V,0.011886238652680601
DP 10,4500,Ti-6Al-4V,0.011552134994417429
DP 11,5000,Ti-6Al-4V,0.011406256662060818
DP 12,5500,Ti-6Al-4V,0.012946799397468567
DP 13,6000,Ti-6Al-4V,0.011192986910993402
DP 14,6500,Ti-6Al-4V,0.011508937614659468
DP 15,7000,Ti-6Al-4V,0.011635815047404983
DP 16,7500,Ti-6Al-4V,0.011538690210066059
DP 17,8000,Ti-6Al-4V,0.012030234028186117
DP 18,8500,Ti-6Al-4V,0.012801152387900012
DP 19,9000,Ti-6Al-4V,0.013813892645495278
DP 20,9500,Ti-6Al-4V,0.015112752494003092
DP 21,10000,Ti-6Al-4V,0.016628794638173922
DP 22,500,316 Stainless Steel,0.001234911
DP 23,1000,316 Stainless Steel,0.001284992
DP 24,1500,316 Stainless Steel,0.001308774
DP 25,2000,316 Stainless Steel,0.001787398
DP 26,2500,316 Stainless Steel,0.002694986
DP 27,3000,316 Stainless Steel,0.003631074
DP 28,3500,316 Stainless Steel,0.004575994
DP 29,4000,316 Stainless Steel,0.005527191
DP 30,4500,316 Stainless Steel,0.006482781
DP 31,5000,316 Stainless Steel,0.007434356
DP 32,5500,316 Stainless Steel,0.008372354
DP 33,6000,316 Stainless Steel,0.009336701
DP 34,6500,316 Stainless Steel,0.010299799912091758
DP 35,7000,316 Stainless Steel,0.011261955679704746
DP 36,7500,316 Stainless Steel,0.012223670362598367
DP 37,8000,316 Stainless Steel,0.013187052268120978
DP 38,8500,316 Stainless Steel,0.014148566923621628
DP 39,9000,316 Stainless Steel,0.015108717
DP 40,9500,316 Stainless Steel,0.01606723
DP 41,10000,316 Stainless Steel,0.017024111054423783
DP 42,500,"Cobalt alloy, Co-Cr",0.001611687
DP 43,1000,"Cobalt alloy, Co-Cr",0.003223375
DP 44,1500,"Cobalt alloy, Co-Cr",0.004835062
DP 45,2000,"Cobalt alloy, Co-Cr",0.00644675
DP 46,2500,"Cobalt alloy, Co-Cr",0.007818257
DP 47,3000,"Cobalt alloy, Co-Cr",0.008300596
DP 48,3500,"Cobalt alloy, Co-Cr",0.007611241
DP 49,4000,"Cobalt alloy, Co-Cr",0.008103374
DP 50,4500,"Cobalt alloy, Co-Cr",0.00887365
DP 51,5000,"Cobalt alloy, Co-Cr",0.009265723
DP 52,5500,"Cobalt alloy, Co-Cr",0.009451859
DP 53,6000,"Cobalt alloy, Co-Cr",0.00917929
DP 54,6500,"Cobalt alloy, Co-Cr",0.008902325
DP 55,7000,"Cobalt alloy, Co-Cr",0.009076027
DP 56,7500,"Cobalt alloy, Co-Cr",0.009985075
DP 57,8000,"Cobalt alloy, Co-Cr",0.009289636
DP 58,8500,"Cobalt alloy, Co-Cr",0.009522158
DP 59,9000,"Cobalt alloy, Co-Cr",0.009785347
DP 60,9500,"Cobalt alloy, Co-Cr",0.010093589978558677
DP 61,10000,"Cobalt alloy, Co-Cr",0.010492401995829173
